what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919650710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1496919650756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1496919653042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919655617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919656309
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1496919659253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919661044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1496919661119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919662651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919663831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1496919663902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919667139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919669589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1496919669655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919673545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919674747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919675681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1496919675726
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496919679226
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1496919679584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1496919681286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1496919682456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919683358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919685952
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496919686053
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496919686108
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1496919686136
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496919686155
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.closeAll",1496919686185
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1496919693509
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1496919722983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919733561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919735307
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.LogCatView",1496919735361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919745166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496919750326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919750328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919755091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919756529
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.LogCatView",1496919758429
